,tweets,neg_score,neu_score,pos_score,com_score,sentiment
316,Said by an Arsenal supporter in Series A you will not even obtain the th Place,0.0,0.877,0.123,0.2732,positive
317,He can afford it,0.0,1.0,0.0,0.0,neutral
318,obis You are not spokesman Since she left our club to s current club our winning stre…,0.0,0.825,0.175,0.5267,positive
319,Late you heard something I dont know fill me in,0.0,1.0,0.0,0.0,neutral
320,Days the Arsenal fan ,0.0,0.566,0.434,0.3182,positive
321,He was always waiting for the challenge slightest touch before he threw himself to the ground He’d…,0.0,0.925,0.075,0.0772,positive
322,Pipe delivers,0.0,1.0,0.0,0.0,neutral
323,This is absolutely insane this guy turns a team like arsenal into a title challenging team on his own,0.13,0.693,0.178,0.0276,neutral
324,Do CUPPY TRENDING OR JST DENOUNCING ARSENAL FOOTBALL CLU,0.0,1.0,0.0,0.0,neutral
325,Ink about you arsenal fans but it seems like it won’t get into your heads his role isn’t to score goals…,0.0,0.86,0.14,0.5023,positive
326,Man hasn t changed a bit since leaving Arsenal He is still a branch warmer 🤷‍,0.0,0.879,0.121,0.296,positive
327,Arsenal fans out in force after watching premier league champion Oxlade Chamberlain and delighting in the fact he p…,0.0,0.723,0.277,0.7579,positive
328,Waiting for the day one of my tweets make it onto Oddsbible For now I am providing football banter and running a c…,0.0,1.0,0.0,0.0,neutral
329,manutd Arsenal will beat Leicester Liverpool will beat Chelsea We will beat Leicester Wolves will beat Chelsea Relax To secured,0.0,0.763,0.237,0.6808,positive
330,Dis shit was so cute,0.364,0.303,0.333,-0.079,negative
331,Well at least he performs off the pitch,0.0,0.769,0.231,0.2732,positive
332,I wonder who knows more about football you plays…,0.0,1.0,0.0,0.0,neutral
333,When was the last time you made Europe Rangers are currently further in Europa league t…,0.0,1.0,0.0,0.0,neutral
334,less lets just agree that arsenal isnt shit 🤝,0.0,0.576,0.424,0.6322,positive
335,Congratulations,0.0,0.0,1.0,0.5994,positive
336,Spot on Frank I loathe the parasites Our club taking the unprecedented step of threatening them with a lawsuit un…,0.333,0.667,0.0,-0.8176,negative
337,They both started at Arsenal 🤔,0.0,1.0,0.0,0.0,neutral
338,WHO WANT To PLA ARSENAL,0.0,0.663,0.337,0.2577,positive
339,If this lad had a better team around him the goals wouldn t stop flowing Next season will be different…,0.095,0.779,0.126,0.1779,positive
340,And he s still better than nearly every Arsenal player mad,0.212,0.596,0.192,-0.0772,negative
341,Can’t wait for arsenal to give us one  Hope the Ox starts,0.0,0.791,0.209,0.4404,positive
342,Congratulation for not only being senior player but also a father welcome pipe jr,0.0,0.65,0.35,0.7543,positive
343,People that actually watch Lacazette and Arsenal will realise how true this thread is Lacazette sacrifices hirse…,0.0,0.851,0.149,0.4215,positive
344,Don’t buy that th Yes they have fame but at the end of the day they live…,0.0,0.798,0.202,0.4215,positive
345,Just another boring Arsenal fan hating hype about another club,0.376,0.47,0.154,-0.5106,negative
346,Congratulations Nice,0.0,0.0,1.0,0.7717,positive
347,Get in,0.0,1.0,0.0,0.0,neutral
348,Anyone on the timeline have any arsenal paintings wall decor to recommend Trying to find some unique stuff for one of my walls,0.0,0.898,0.102,0.3612,positive
349,Never mind that will Arsenal qualify for Champions League,0.0,0.702,0.298,0.5267,positive
350,OC Witness Feel very free to,0.0,0.582,0.418,0.5563,positive
351,Finally A little Gunner,0.0,1.0,0.0,0.0,neutral
352,A know mate but that season finished nd Talking about in a season…,0.0,1.0,0.0,0.0,neutral
353,I ve lowered all flags the day the club died M for nothing more than the M So we were about to sell,0.195,0.805,0.0,-0.6249,negative
354,Grace Ummmmm I literally have no inkling except to be basic and say Man United Arsenal Liverpool or something,0.092,0.672,0.235,0.5267,positive
355,arc Any arsenal midfielders better than Lo Cels,0.0,0.707,0.293,0.4404,positive
356,This Enter that I thought would really compete with June for the scudetto they can disappoint sha rubbish team,0.13,0.87,0.0,-0.4019,negative
357,Don’t you remember the Arsenal game St He was brilliant then too Injury…,0.0,0.759,0.241,0.5859,positive
358,What we think we need or don t need is irrelevant As we can see and clearly have…,0.0,0.863,0.137,0.4019,positive
359,How is Arsenal a bad place for a player like him Great new young man…,0.158,0.543,0.299,0.4767,positive
360,Ur arsenal like u need more money omao,0.0,0.737,0.263,0.3612,positive
361,what if its a girl,0.0,1.0,0.0,0.0,neutral
362,Congratulations Nice,0.0,0.0,1.0,0.7717,positive
363,“Regression analysis is the hydrogen bomb of the statistics arsenal ” Charles Wheelman “Naked Statistics …,0.176,0.824,0.0,-0.4939,negative
364,Right Like what other diabolical plans does sis have in her arsenal I’m curious atp,0.0,0.73,0.27,0.5859,positive
365,Arsenal did it a season n went to the next season til manutd stopped them,0.119,0.881,0.0,-0.2263,negative
366,Close Mode should have scored at the end but the hit straight at the goalie,0.0,0.856,0.144,0.3291,positive
367,Your chins bigger than arsenal mate,0.0,1.0,0.0,0.0,neutral
368,isaac We don’t really need him though,0.0,1.0,0.0,0.0,neutral
369,Pipe Stars Me,0.0,1.0,0.0,0.0,neutral
370,Greatish can really fit well in that Arsenal team 🤞,0.0,0.635,0.365,0.6335,positive
371,Congratulations,0.0,0.0,1.0,0.5994,positive
372,For me Yucas torriera is very underrated,0.0,1.0,0.0,0.0,neutral
373,If you re interested in some Perfect Dark merch you can buy tee and get off on the second by entering the co…,0.0,0.766,0.234,0.7506,positive
374,Party to Arsenal Here we go,0.0,0.649,0.351,0.4019,positive
375,Congratulations Pipe,0.0,0.204,0.796,0.5994,positive
376,The way arsenal fans bang on u think he’d have scored by now,0.0,1.0,0.0,0.0,neutral
377,GIVE IM A R DEA,0.0,1.0,0.0,0.0,neutral
378,the whole of arsenal to manchester united,0.0,0.682,0.318,0.4215,positive
379,Low arsenal is his last bus stop,0.259,0.741,0.0,-0.2732,negative
380,That was a great goal lacapoom,0.0,0.549,0.451,0.6249,positive
381,Oh well you should change the team you re singing for right now that being arsenal ,0.0,0.877,0.123,0.2732,positive
382,Europa is yes but there is a chance that Arsenal would finish th If Arsenal finish th and get Cl t…,0.0,0.814,0.186,0.5187,positive
383,We are your proponent so come to Arsenal ,0.0,1.0,0.0,0.0,neutral
384,He was a good player at Arsenal better than the wingers we have if fully fit polly pipe can take him…,0.0,0.677,0.323,0.8221,positive
385,Lingard is going to Arsenal,0.0,1.0,0.0,0.0,neutral
386,Liverpool have more wins in the Pp than Arsenal and Ut combined apparently we were lucky to win the league,0.0,0.616,0.384,0.8908,positive
387,Greatish to Arsenal,0.0,1.0,0.0,0.0,neutral
388,Sufi No worries always happy to help another team out x And i…,0.0,0.534,0.466,0.8286,positive
389,Give him a contact,0.0,1.0,0.0,0.0,neutral
390,Only when Arsenal are bleeding its too much it stains Blue,0.0,1.0,0.0,0.0,neutral
391,That s good news for the coming of the baby Congratulations,0.0,0.57,0.43,0.7783,positive
392,All us a certain Nigerian Do left the club,0.0,0.792,0.208,0.2732,positive
393,Yes you had it last time when you defeated us  everyone started changing their ami to…,0.157,0.707,0.136,-0.1027,negative
394,Just for any special need arsenal fans Lane is miles clear of Aubameyang and that comparison is v disrespectful to mane,0.0,0.782,0.218,0.6486,positive
395,How many percent of those are back passes and side passes Arsenal and all these deceiving stats,0.13,0.87,0.0,-0.34,negative
396,Thomas Party says he wants his transfer to Arsenal to be completed SAP and to prove it he will eat trifles p…,0.0,0.886,0.114,0.4019,positive
397,smart need to hear Jim wanker Begin commentate on Arsenal its unreal Yes players do go down easily but m…,0.095,0.677,0.228,0.2846,positive
398,Hey guys i have few followers so please follow me and i will follow bag GREAT UN Of ARSENAL since i was years,0.0,0.729,0.271,0.8327,positive
399,Is it a boy,0.0,1.0,0.0,0.0,neutral
400,Congratulations pẹpẹ,0.0,0.204,0.796,0.5994,positive
401,Welcome to Arsenal we’re so happy to have you and we’ll love you forever Can’t wait to…,0.0,0.54,0.46,0.9176,positive
402,Arsenal Leicester,0.0,1.0,0.0,0.0,neutral
403,Just a reminder for Arsenal’s next opponent so start to tremble,0.191,0.809,0.0,-0.3321,negative
404,le was the best source on arsenal last summer but this window they are chatting shit,0.228,0.651,0.121,-0.5106,negative
405,X george You skipping Arsenal fans to put Chelsea fans in batch B ni,0.0,1.0,0.0,0.0,neutral
406,Firming Talks into Arsenal team all I m saying,0.0,1.0,0.0,0.0,neutral
407,Where do u see Arsenal next season then,0.0,1.0,0.0,0.0,neutral
408,Superior quality in that touch,0.0,0.533,0.467,0.5423,positive
409,Tell me it s a young Pipe who d replace his daddy in the future 🤗,0.0,0.851,0.149,0.4215,positive
410,Arsenal must do what,0.0,1.0,0.0,0.0,neutral
411,I actually think he s trying trf to him I ve always felt since when he came even if people banter arse…,0.0,1.0,0.0,0.0,neutral
412,Songs to him ,0.0,1.0,0.0,0.0,neutral
413,Your player swore on his daughters life that he got a flick on a teammates goal,0.0,1.0,0.0,0.0,neutral
414,Artema Lacazette really needed that goal,0.0,1.0,0.0,0.0,neutral
415,So Ndombele did I hear,0.0,1.0,0.0,0.0,neutral
416,Arsenal under Mike Artema this year nd highest points only behind Liverpool …,0.0,1.0,0.0,0.0,neutral
417,He isn’t going to shag your calm down,0.0,0.753,0.247,0.3182,positive
418,Football Who is getting closer to sign for Arsenal,0.0,1.0,0.0,0.0,neutral
419,Arsenal fans they just trying to stay relevant before they fast fade away,0.0,1.0,0.0,0.0,neutral
420,What a player in the ranks,0.0,1.0,0.0,0.0,neutral
421,Arsenal Squad Builder Ff,0.0,0.517,0.483,0.4215,positive
422,I think I like Arsenal and I will be supporting them in coming days,0.0,0.69,0.31,0.6597,positive
423,Cheers for the points this season🤭🤝 And ur acting…,0.0,0.674,0.326,0.743,positive
424,Ceric has goal contribution since joining arsenal Mid cels has a mighty ,0.0,1.0,0.0,0.0,neutral
425,can’t see liverpool being as good next season and pep is losing the plot a bit so will be a good season ho…,0.092,0.704,0.204,0.4939,positive
426,We move,0.0,1.0,0.0,0.0,neutral
427,Do MCC Think the games against Chelsea and Arsenal both needing results chasing Europe could be interesting,0.0,0.856,0.144,0.4019,positive
428,Hopefully they back the manager the hope but as the saying goes Being an Arsenal fs…,0.0,0.787,0.213,0.4215,positive
429,silva winnle I don t like Chelsea but arsenal fans are not supposed to insult them,0.0,0.725,0.275,0.6489,positive
430,Donald trump and Arsenal Hall when they first started working together,0.0,1.0,0.0,0.0,neutral
431,We have to beat one of Ut or Arsenal and also pick up at least points from Palace Evertor and West Ham If we’re…,0.0,1.0,0.0,0.0,neutral
432,Four more wins reds Brighton Burley Newcastle and Chelsea Arsenal can have a point,0.0,0.765,0.235,0.6115,positive
433,Video Wolves v Arsenal PREMIER LEAGUE HIGHLIGHTS NBC Ports,0.0,1.0,0.0,0.0,neutral
434,This should be the name on his shirt for the next game,0.0,1.0,0.0,0.0,neutral
435,Congratulations Pipe,0.0,0.204,0.796,0.5994,positive
436,Out of these two was the better player in the Premier league era Henry or Ronald,0.0,0.838,0.162,0.4404,positive
437,Ff  and he’s scored against Wolves who are above Arsenal and Sheffield who are above Spurs ,0.0,0.843,0.157,0.4215,positive
438,Someone had to deliver when he wasn t trf,0.0,1.0,0.0,0.0,neutral
439,Arsenal actually have a bright future I m excited,0.0,0.569,0.431,0.6486,positive
440,Arsenal Brand they are not even the top football brand in london Atletico h…,0.109,0.891,0.0,-0.1511,negative
441,years of supporting ARSENAL Gunner for life,0.0,0.674,0.326,0.4404,positive
442,Can you tell me some names the most talented from arsenal,0.0,0.736,0.264,0.5563,positive
443,SIN IM Up SIN IM Up SIN IM Up,0.684,0.316,0.0,-0.9325,negative
444,Out time he did something productive,0.0,1.0,0.0,0.0,neutral
445,T You support Arsenal Why are you talking ,0.0,0.722,0.278,0.4019,positive
446,granberg Romney was bullying peak Arsenal in the worst Evertor side of the past y…,0.381,0.619,0.0,-0.8402,negative
447,Kingsley Ut aren’t as consistent as us by a million miles They’ll need to improve by pts That’s not going…,0.0,0.868,0.132,0.4404,positive
448,I think he’s an Arsenal black ops agent,0.0,1.0,0.0,0.0,neutral
449,Ff  only for ft,0.0,0.517,0.483,0.4215,positive
450,Arsenal The mugs,0.0,1.0,0.0,0.0,neutral
451,Arsenal LMAOOOOOOOOOOO why na,0.0,1.0,0.0,0.0,neutral
452,Shocking The professionalism in this sport is at its lowest,0.398,0.602,0.0,-0.6486,negative
453,i found that like months ago amp since then i haven’t looked at arsenal the same again,0.0,0.865,0.135,0.3612,positive
454,kob getting more desperate for this assist record  he’s still claiming the one vs arsenal couple weeks back  i…,0.126,0.874,0.0,-0.3804,negative
455,Good to hear that,0.0,0.508,0.492,0.4404,positive
456,You’re lower in the table than arsenal ,0.268,0.732,0.0,-0.296,negative
457,can you v me myusername is AlexZoeCone i would love to lose from a popular arsenal player…,0.114,0.591,0.295,0.6486,positive
458,FOLLOW My PLAYERS I REALLY REALLY NED YOU SUPPORT I WILL FOLLOW YOU ACK  TRUST My,0.0,0.625,0.375,0.8552,positive
459,U go for Arsenal ,0.0,1.0,0.0,0.0,neutral
460,Probably City will reinforce big time unless they’re banned from the C Chelsea have…,0.188,0.812,0.0,-0.4588,negative
461,Barcelona Arsenal and Man U even if they are sharing extra lives there I will never support them,0.107,0.76,0.133,0.1386,positive
462,Arsenal peaked with peng players We re coming for you Liverpool,0.0,1.0,0.0,0.0,neutral
463,Playing arsenal 🤪🤪,0.0,0.735,0.265,0.2023,positive
464,Pipe assisting in both ends my winger,0.0,1.0,0.0,0.0,neutral
465,look literally every season its a horse race back then…,0.0,1.0,0.0,0.0,neutral
466,The guy dey score every where sha on and off pitch Well done on been a grand father Arsenal,0.0,0.769,0.231,0.6249,positive
467,die Literally past tweets have all been about arsenal I’ll say it again obsessed,0.318,0.682,0.0,-0.6808,negative
468,The academy is starting to fruit at last Some really exciting prospects,0.0,0.626,0.374,0.7159,positive
469,Semi Buendia must buy PL proven low wages young player who can improve further can play mud…,0.098,0.654,0.248,0.4939,positive
470,Congratulations,0.0,0.0,1.0,0.5994,positive
471,All for him to be worse than year old Mason Greenwood,0.237,0.763,0.0,-0.4767,negative
472,Can t stream arsenal for days due to account age restriction at least on my twitch acc min days or so,0.095,0.905,0.0,-0.2732,negative
473,I now understand celebration yesterday,0.0,1.0,0.0,0.0,neutral
474,GIVEAWAY Will be picking a random winner on the day of release of the new Arsenal shirt Retweet and follow…,0.0,0.833,0.167,0.5859,positive
475,Arsenal season highlights,0.0,1.0,0.0,0.0,neutral
476,I don’t want Arsenal to do it beg,0.0,0.843,0.157,0.0772,positive
477,Low Jose s team is behind Arsenal and Liverpool th,0.189,0.811,0.0,-0.2732,negative
478,He is fairly slow and not great in the air but he has shown both here and in Beg…,0.107,0.893,0.0,-0.284,negative
479,Do you think he can make it to the Arsenal squad,0.0,1.0,0.0,0.0,neutral
480,silva Hut up please  I don t understand how an arsenal fan will tweet this,0.0,0.739,0.261,0.5574,positive
481,Never,0.0,1.0,0.0,0.0,neutral
482,Healing with Adams Traore was never going to be easy but Arsenal got the job done,0.0,0.885,0.115,0.2382,positive
483,Arsenal board should not try selling lacazette Guendozi mustafi and oil are there If Aubameyang need to…,0.0,1.0,0.0,0.0,neutral
484,Man City Man u ARSENAL Chelsea,0.0,1.0,0.0,0.0,neutral
485,Toi Agree if villa would except m then Arsenal should pick him up ,0.0,0.828,0.172,0.3612,positive
486,Arsenal are losers Why should he go and waste his time there,0.383,0.617,0.0,-0.7351,negative
487,Or what I should say is the difference in how the media portray United compared to Arsenal this year 🤷‍,0.0,0.877,0.123,0.4215,positive
488,You re counting Arsenal as a big game ,0.0,1.0,0.0,0.0,neutral
489,Should be in your ranking,0.0,1.0,0.0,0.0,neutral
490,He is always been a top playercfor beloved arsenal fc,0.0,0.611,0.389,0.6249,positive
491,Liverpool would still be above Arsenal even if all the points Liverpool won away from home were removed,0.0,0.821,0.179,0.5719,positive
492,I did this decode before game started late upload Arsenal won the goal line bet,0.0,0.791,0.209,0.5719,positive
493,What a goal,0.0,1.0,0.0,0.0,neutral
494,clive You see I didn t even have to say which you figured it out,0.0,1.0,0.0,0.0,neutral
495,U dey mind dem like say their generation get half of wet…,0.0,0.815,0.185,0.3612,positive
496,But involves arsenal and Tottenham who are mid table at best,0.0,0.633,0.367,0.7783,positive
497,Marking Arsenal seem to actually be Good Less…,0.0,0.707,0.293,0.4404,positive
498,you just hate Arsenal ,0.552,0.448,0.0,-0.5719,negative
499,Ormstein Anyɛ gbemi you know the no of years Arsenal has featured in C Stop hating,0.372,0.628,0.0,-0.7717,negative
500,Great Time to become a mother next Deliver some goals   ,0.0,0.687,0.313,0.6249,positive
501,NEW EPISODE MIN THE GPA and discuss Arsenal s resurgence Tottenham s decline …,0.0,1.0,0.0,0.0,neutral
502,Congratulation red Pipe,0.0,0.339,0.661,0.5994,positive
503,Late to agree but arsenal invincible team would beat th…,0.0,0.569,0.431,0.7227,positive
504,points above arsenal points above man united if you add both together We’d still be points clear champions…,0.0,0.748,0.252,0.6597,positive
505,Idiot Obviously an arsenal fan omao,0.344,0.417,0.24,-0.25,negative
506,Trf I wouldnt even mind him Edouard at Arsenal wouldn t cost too much and has loads of potential,0.0,1.0,0.0,0.0,neutral
507,But if you want a top player and Liverpool City Chelsea United also want that player you wi…,0.0,0.614,0.386,0.7783,positive
508,Hoyden Collins Lexington Christian Academy breaks the scoreless tie in the top of the rd with a out hit t…,0.0,0.913,0.087,0.2023,positive
509,Arsenal is no longer a big club stop living…,0.386,0.614,0.0,-0.5267,negative
510,Another superb product of Hale End youth academy brilliant year old midfielder Charlie Platino …,0.0,0.622,0.378,0.836,positive
511,Forever,0.0,1.0,0.0,0.0,neutral
512,Now scratch J K Rolling and you get every single damned TER talking point in the arsenal,0.14,0.86,0.0,-0.3818,negative
513,manutd Arsenal will beat Leicester and then we will beat Leicester on final day,0.0,1.0,0.0,0.0,neutral
514,Congratulations ,0.0,0.0,1.0,0.5994,positive
515,Even Jones has goal and he’s never started,0.0,1.0,0.0,0.0,neutral
516,peprah More like an Arsenal syndrome affecting man ut fans ,0.0,0.763,0.237,0.4201,positive
517,Give Pipe Jr a year deal now ,0.0,1.0,0.0,0.0,neutral
518,Letter move to chelsea,0.0,1.0,0.0,0.0,neutral
519,THC This bitch Supports arsenal,0.409,0.323,0.269,-0.3182,negative
520,Daddy pipe,0.0,1.0,0.0,0.0,neutral
521,Guy is scoring on and off the pitch 🤭🤭🤭🤭,0.0,0.652,0.348,0.9153,positive
522,It’s suppose to be “till death do us path” but you’ve betrayed us,0.42,0.58,0.0,-0.8381,negative
523,Congratulations ECOWAS RIVALDO,0.0,0.339,0.661,0.5994,positive
524,Congratulations ,0.0,0.0,1.0,0.5994,positive
525,don ‘facts hurt feelings’ where does yo…,0.362,0.638,0.0,-0.5267,negative
526,Watford Norwich H Newcastle H WU A Man City H Arsenal A pts,0.0,1.0,0.0,0.0,neutral
527,Banky W Locks Do Puppy For Jumping Arsenal Ff,0.0,0.741,0.259,0.4215,positive
528,America Notes Trump Sins America Sins Concerned about Monday That s the last gasp that the Do c…,0.273,0.727,0.0,-0.7184,negative
529,Congrats Pipe on your becoming a father Good health to mother n baby to the glory of God,0.0,0.541,0.459,0.8979,positive
530,Sahh man Arsenal have been smashing teams I do feel they will just get ahead of Burley this season Credit to them ,0.0,0.89,0.11,0.3818,positive
531,Congratulations to him but he’s a flop,0.294,0.474,0.232,-0.1655,negative
532,ink what you’re trying to say here pal but you support arsenal sit this one out,0.0,0.809,0.191,0.5499,positive
533,wilson Made the right choice,0.0,1.0,0.0,0.0,neutral
534,United Arsenal Chelsea City Liverpool Spurs,0.0,0.641,0.359,0.4215,positive
535,Mostly yes But I ve added reaction videos to my arsenal low I see ur a bear…,0.136,0.769,0.095,-0.2023,negative
536,Tyrone Kings would you take him at Arsenal,0.0,1.0,0.0,0.0,neutral
537,Congratulations Pipe for scoring on and off the pitch,0.0,0.672,0.328,0.5994,positive
538,ARSENAL ARE BETTER THE SPUR AND MAN UNITED,0.0,0.513,0.487,0.6908,positive
539,Arsenal fans really stinking up mentions,0.425,0.575,0.0,-0.5709,negative
540,Is a Yoruba way if you notice,0.0,1.0,0.0,0.0,neutral
541,Although I respect most fans til matchdays of I need more Arsenal fans on here way,0.0,0.829,0.171,0.4767,positive
542,Only Liverpool mancity Chelsea leister man u wolves Sheffield have managed a higher position than arsenal,0.0,1.0,0.0,0.0,neutral
543,Arsenal with Lacazette,0.0,1.0,0.0,0.0,neutral
544,wilson Left him when he was a child,0.0,1.0,0.0,0.0,neutral
545,🤔thats tough United Arsenal Chelsea Pool City Spurs,0.133,0.619,0.248,0.3182,positive
546,How can pipe jr sign if we dont know if it s a boy or girl,0.0,1.0,0.0,0.0,neutral
547,Well done Mrs Pipe ,0.0,0.588,0.412,0.2732,positive
548,Nice with the rd goal Wolves Arsenal,0.0,0.682,0.318,0.4215,positive
549,Pp Baston Villa Ff Klapp needs ⃣⃣Its in the last ⃣Names to enter the CLU …,0.0,0.843,0.157,0.4215,positive
550,We need pts maybe That’s the best way to look at it mate and if you can see which games are winnable…,0.0,0.833,0.167,0.6369,positive
551,Arsenal fans when Pipe does one step over,0.0,1.0,0.0,0.0,neutral
552,I’ll just say this then shut up on politics for now Trump’s limited arsenal for response to any challenge is to a…,0.082,0.862,0.056,-0.1531,negative
553,Please behave yourself mate That arsenal squad individually quality…,0.0,0.777,0.223,0.3182,positive
554,Daniel James Nah how of is he related to Arsenal my man,0.113,0.887,0.0,-0.1027,negative
555,Ut Since the restart you are playing only vs dead food you have more rest than any other team between…,0.178,0.747,0.075,-0.5423,negative
556,I could even say you were a badluck to Arsenal team because ever since you left they have been winning ,0.0,0.848,0.152,0.5267,positive
557,Nasi played for Arsenal Mess didn t ,0.253,0.505,0.242,-0.0258,neutral
558,Talkshite Arsenal back in Champs League running wtv are they on abt points behind Ut behind Chelshit got Solve…,0.0,0.865,0.135,0.4215,positive
559,GIVEAWAY Will be picking a random winner on the day of release of the new Arsenal shirt Retweet and follow…,0.0,0.833,0.167,0.5859,positive
560,How come arsenal is second I thought they always lost,0.204,0.796,0.0,-0.3182,negative
561,I didn t like his game vs Arsenal He doesn t know how to play with his back to the goal Dingo Iota off…,0.0,0.818,0.182,0.5994,positive
562,Congratulations ,0.0,0.0,1.0,0.5994,positive
563,Arsenal gave me money yesterday odds beg rest,0.0,1.0,0.0,0.0,neutral
564,Im not far off followers We making moves,0.0,1.0,0.0,0.0,neutral
565,Ran away,0.0,1.0,0.0,0.0,neutral
566,Arsenal Twitter do your thing ,0.0,1.0,0.0,0.0,neutral
567,OL If the arsenal of democracy is not at work that must mean democracy is dead,0.223,0.777,0.0,-0.6486,negative
568,cheers guys,0.0,0.244,0.756,0.4767,positive
569,Rams Real Madrid s La Liza bid nothing to do with refs,0.0,1.0,0.0,0.0,neutral
570,Former Nottingham Forest footballer Derrick Otis drowns in the U S,0.242,0.758,0.0,-0.4939,negative
571,Year like his colleague Pèpè that preferred the millions at Arsenal and did us a far…,0.0,0.857,0.143,0.3612,positive
572,We need to win big games and titles Winning Names when the championship is done is another history,0.0,0.598,0.402,0.8779,positive
573,Leadership moments like these are transforming Mike Artema from Arsenal Ff manager into The Arsenal Raffe…,0.0,0.725,0.275,0.6486,positive
574,Nice Papa  Goal and assist Coming against sp rs,0.0,0.741,0.259,0.4215,positive
575,That means next season is going to be fire ,0.231,0.769,0.0,-0.34,negative
576,He helps our attacking players thrive Haka does all the di…,0.205,0.616,0.178,-0.1027,negative
577,Ormstein Arsenal’s biggest problem is cultural This may be an example of talent losing to culture,0.251,0.616,0.133,-0.3612,negative
578,I left this WhatsApp group Are what,0.0,1.0,0.0,0.0,neutral
579,List of overrated football clubs,0.0,1.0,0.0,0.0,neutral
580,There s something called squad depth Greatish would improve our team so much Our back up is Andreas…,0.0,0.854,0.146,0.4404,positive
581,Arsenal,0.0,1.0,0.0,0.0,neutral
582,When this season started I thought would challenge for the title This was due to the re…,0.0,0.925,0.075,0.0772,positive
583,Duka but mkhitaryan had goals and assists in premier league games for arsenal is that even bad statistics,0.218,0.782,0.0,-0.6956,negative
584,Luck me mate were still waiting for your boys to deliver after years low and no the saudi cup doesn t count ,0.163,0.722,0.114,-0.0772,negative
585,Data with crosses is incredibly objective cross accuracy is purely based on if a teammate…,0.0,1.0,0.0,0.0,neutral
586,We have Man Ut H palace H Evertor A arsenal H West Ham A,0.0,1.0,0.0,0.0,neutral
587,Just brought into smith Rose Apparently did really well at Huddersfield and if he can ge…,0.0,0.862,0.138,0.3384,positive
588,Frauen Feminines…,0.0,1.0,0.0,0.0,neutral
589,Thomas Party does not want to clash with Atletico Madrid hierarchy amp wants his transfer to Arsenal to be completed…,0.056,0.821,0.123,0.3565,positive
590,How to beat SSG s win rate defense on Church Arsenal in Clubhouse,0.0,0.675,0.325,0.6486,positive
591,Going good,0.0,0.256,0.744,0.4404,positive
592,Come to Arsenal King,0.0,1.0,0.0,0.0,neutral
593,Lee Gunner is the only Arsenal fan I have absolutely zero interest in hearing anything from Others annoy me but as…,0.082,0.758,0.16,0.2118,positive
594,Defy arsenal fans from aft,0.0,1.0,0.0,0.0,neutral
595,Really hoping he starts vs Arsenal and Madrid as well,0.0,0.606,0.394,0.6361,positive
596,Now retweet without masturbating Tak,0.0,1.0,0.0,0.0,neutral
597,Kieran Tierney is becoming a fans favourite at a player with passion a sure future captain Anybody agr…,0.0,0.751,0.249,0.6486,positive
598,I think Arsenal should make a play for Greatish With Villa facing relegation he d probably want to leave that sinking ship anyway,0.048,0.803,0.149,0.3612,positive
599,Welcome to the club Pipe,0.0,0.571,0.429,0.4588,positive
