,tweets,sentiment
504,points above arsenal points above man united if you add both together We’d still be points clear champions…,positive
505,Idiot Obviously an arsenal fan omao,negative
506,Trf I wouldnt even mind him Edouard at Arsenal wouldn t cost too much and has loads of potential,positive
507,But if you want a top player and Liverpool City Chelsea United also want that player you wi…,positive
508,Hoyden Collins Lexington Christian Academy breaks the scoreless tie in the top of the rd with a out hit t…,positive
509,Arsenal is no longer a big club stop living…,neutral
510,Another superb product of Hale End youth academy brilliant year old midfielder Charlie Platino …,positive
511,Forever,neutral
512,Now scratch J K Rolling and you get every single damned TER talking point in the arsenal,negative
513,manutd Arsenal will beat Leicester and then we will beat Leicester on final day,neutral
514,Congratulations ,neutral
515,Even Jones has goal and he’s never started,neutral
516,peprah More like an Arsenal syndrome affecting man ut fans ,positive
517,Give Pipe Jr a year deal now ,neutral
518,Letter move to chelsea,neutral
519,THC This bitch Supports arsenal,neutral
520,Daddy pipe,neutral
521,Guy is scoring on and off the pitch 🤭🤭🤭🤭,neutral
522,It’s suppose to be “till death do us path” but you’ve betrayed us,neutral
523,Congratulations ECOWAS RIVALDO,neutral
524,Congratulations ,neutral
525,don ‘facts hurt feelings’ where does yo…,neutral
526,Watford Norwich H Newcastle H WU A Man City H Arsenal A pts,neutral
527,Banky W Locks Do Puppy For Jumping Arsenal Ff,neutral
528,America Notes Trump Sins America Sins Concerned about Monday That s the last gasp that the Do c…,neutral
529,Congrats Pipe on your becoming a father Good health to mother n baby to the glory of God,positive
530,Sahh man Arsenal have been smashing teams I do feel they will just get ahead of Burley this season Credit to them ,neutral
531,Congratulations to him but he’s a flop,neutral
532,ink what you’re trying to say here pal but you support arsenal sit this one out,neutral
533,wilson Made the right choice,positive
534,United Arsenal Chelsea City Liverpool Spurs,neutral
535,Mostly yes But I ve added reaction videos to my arsenal low I see ur a bear…,positive
536,Tyrone Kings would you take him at Arsenal,neutral
537,Congratulations Pipe for scoring on and off the pitch,neutral
538,ARSENAL ARE BETTER THE SPUR AND MAN UNITED,positive
539,Arsenal fans really stinking up mentions,positive
540,Is a Yoruba way if you notice,neutral
541,Although I respect most fans til matchdays of I need more Arsenal fans on here way,positive
542,Only Liverpool mancity Chelsea leister man u wolves Sheffield have managed a higher position than arsenal,positive
543,Arsenal with Lacazette,neutral
544,wilson Left him when he was a child,neutral
545,🤔thats tough United Arsenal Chelsea Pool City Spurs,negative
546,How can pipe jr sign if we dont know if it s a boy or girl,neutral
547,Well done Mrs Pipe ,neutral
548,Nice with the rd goal Wolves Arsenal,positive
549,Pp Baston Villa Ff Klapp needs ⃣⃣Its in the last ⃣Names to enter the CLU …,neutral
550,We need pts maybe That’s the best way to look at it mate and if you can see which games are winnable…,positive
551,Arsenal fans when Pipe does one step over,neutral
552,I’ll just say this then shut up on politics for now Trump’s limited arsenal for response to any challenge is to a…,negative
553,Please behave yourself mate That arsenal squad individually quality…,neutral
554,Daniel James Nah how of is he related to Arsenal my man,neutral
555,Ut Since the restart you are playing only vs dead food you have more rest than any other team between…,positive
556,I could even say you were a badluck to Arsenal team because ever since you left they have been winning ,positive
557,Nasi played for Arsenal Mess didn t ,negative
558,Talkshite Arsenal back in Champs League running wtv are they on abt points behind Ut behind Chelshit got Solve…,negative
559,GIVEAWAY Will be picking a random winner on the day of release of the new Arsenal shirt Retweet and follow…,negative
560,How come arsenal is second I thought they always lost,neutral
561,I didn t like his game vs Arsenal He doesn t know how to play with his back to the goal Dingo Iota off…,negative
562,Congratulations ,neutral
563,Arsenal gave me money yesterday odds beg rest,neutral
564,Im not far off followers We making moves,negative
565,Ran away,neutral
566,Arsenal Twitter do your thing ,neutral
567,OL If the arsenal of democracy is not at work that must mean democracy is dead,negative
568,cheers guys,neutral
569,Rams Real Madrid s La Liza bid nothing to do with refs,positive
570,Former Nottingham Forest footballer Derrick Otis drowns in the U S,neutral
571,Year like his colleague Pèpè that preferred the millions at Arsenal and did us a far…,neutral
572,We need to win big games and titles Winning Names when the championship is done is another history,positive
573,Leadership moments like these are transforming Mike Artema from Arsenal Ff manager into The Arsenal Raffe…,neutral
574,Nice Papa  Goal and assist Coming against sp rs,positive
575,That means next season is going to be fire ,neutral
576,He helps our attacking players thrive Haka does all the di…,neutral
577,Ormstein Arsenal’s biggest problem is cultural This may be an example of talent losing to culture,positive
578,I left this WhatsApp group Are what,neutral
579,List of overrated football clubs,neutral
580,There s something called squad depth Greatish would improve our team so much Our back up is Andreas…,positive
581,Arsenal,neutral
582,When this season started I thought would challenge for the title This was due to the re…,negative
583,Duka but mkhitaryan had goals and assists in premier league games for arsenal is that even bad statistics,negative
584,Luck me mate were still waiting for your boys to deliver after years low and no the saudi cup doesn t count ,neutral
585,Data with crosses is incredibly objective cross accuracy is purely based on if a teammate…,positive
586,We have Man Ut H palace H Evertor A arsenal H West Ham A,neutral
587,Just brought into smith Rose Apparently did really well at Huddersfield and if he can ge…,positive
588,Frauen Feminines…,neutral
589,Thomas Party does not want to clash with Atletico Madrid hierarchy amp wants his transfer to Arsenal to be completed…,positive
590,How to beat SSG s win rate defense on Church Arsenal in Clubhouse,positive
591,Going good,positive
592,Come to Arsenal King,neutral
593,Lee Gunner is the only Arsenal fan I have absolutely zero interest in hearing anything from Others annoy me but as…,positive
594,Defy arsenal fans from aft,neutral
595,Really hoping he starts vs Arsenal and Madrid as well,positive
596,Now retweet without masturbating Tak,neutral
597,Kieran Tierney is becoming a fans favourite at a player with passion a sure future captain Anybody agr…,positive
598,I think Arsenal should make a play for Greatish With Villa facing relegation he d probably want to leave that sinking ship anyway,neutral
599,Welcome to the club Pipe,positive
